id,autor,titulo,editorial,anio,clasificacion
3648,"Dewar, M. J. S.",The molecular orbital theory of organic chemistry (La teoría orbital molecular de la química orgánica),McGraw-Hill,1969,QD461 D46 1969
3649,"Fabian, D. J.",Soft X-Ray band spectra and the electronic structure of metal and materials (Espectros de banda X-Ray Soft y la estructura electrónica de materiales metálicos),Academic Press,1968,QC481 C64 1968
3650,"Estes, W. K.",Learning theory and mental development (Teoría y el desarrollo mental de aprendizaje),Academic Press,1970,LB1051 E87 1970
3651,"Weschsler, D.","The measurement of adult intelligence (La medición de
la inteligencia del adulto)",The Williams & Wilkins,1944,BF431 W412 1944
3652,"Sheridan, C. L.",Fundamentals of experimental psychology (Fundamentos de la psicología experimental),Holt,1976,BF181 S43 1976
3653,"Nussbaum, A.","Semiconductor device physics (Física de dispositivos
semiconductores)",Prentice-Hall,1962,QC612.S4 N8 1962
3654,"Van Wylen, G. J. & R. E. Sconntag","Fundamentals of classical thermodynamics
(fundamentos de la termodinámica clásica)",John Wiley & Sons,1978,TJ265 V23 1978
3655,"Honig, W. K.","Operant behavior: Areas of research and application (Áreas de la conducta operante de investigación y
aplicación)",Appleton-Century-Crofts,1966,BF319 H59 1966
3656,"Sternbach, R. A.",PAIN A psychophysiological analysis,Academic Press,1968,QP401 S83 1968
3657,"Braslavsky, B. P. de","La querella de los métodos en la enseñanza de la lectura. Sus fundamentos psicológicos y la renovación
actual",Kapelusz,1962,LB1050 B73 1962
3658,"Montessori, M.","La educación para el desarrollo humano.
Comprendiendo a Montessori",Diana,1976,LB775 M8 M64 1976
3659,"Carpenter, F. & E. E. Haddan",Como aplicar la psicología a la educación,Paidos,1971,LB1051 C317 1971
3660,Isáis Reyes. J. M.,Educación de adultos,Oasis,1972,LC5215 I8 1972
3661,"Keller, F. S.",La definición de psicología,Trillas,1979,BF38 K443 1979
3662,"Kerlinger, F. N.",Fundations of behavioral research (Fundamentos de la investigación del comportamiento),Holt,1973,BF76.5 K4 1976
3663,"Nahem, J.",La psicología y la psiquiatría hoy,Nuestro tiempo,1982,BF38 N33 1982
3664,"Sours, J. A. [et. Al]",Perturbaciones psiquicas del adolescente,Paidos,1972,BF724 S56 1972
3665,"Charles, C.",Apuntes de motivación y emoción,UNA;M,1984,BF683 M48 1984
3666,"Zimbardo, P. & C. Maslach","Psychology for our times. Readings (La psicología de
nuestros tiempos. Lecturas)",Foresman and Company,1973,Bf149 Z54 1973
3667,"Hutt, M. L., R. L. Isaacson & M. L. Blum",Psychology. The science of interpersonal behavior,Harper & Row,1966,BF121 H87 1966
3668,"Mueller, F. L.",La psicología contemporánea,"Fondo de Cultura
Economica",1965,BF105 M82 1963
3669,"Eysenck, H. J. & G. D. Wilson",Textos de psicología humana,El manual moderno,1976,BF121 E936 1976
3670,"Hilgard, E. R.",Introduction to psychology (Introducción a la psicología),"Harcourt, Brace & World",1962,BF121 H5b1962
3671,"Ulrich, R., T. Stachnik & J. Mabry","Control de la conducta humana de la curva a la
prevención Vol.2",Trillas,1979,BF632.5 U562 1979 V.2
3672,"Fleishman, E. A.",Studies in personnel and industrial psychology,The Dorsey press,1967,HF5549 F582 1967
3673,Anda L. J. M. de,"La gran carrera. Una experiencia de atención a los niños
en situación de calle",Unicef,1992,HV887 M42A48 1992
3674,"Tannenbaum, A. S.",Psicología de la organización laboral,Continental,1978,HF5548.8 T34 1978
3675,"Gibson, Q.",La lógica de la investigación social,Tecnos,1974,H61 G5 1974
