id,autor,titulo,editorial,anio,clasificacion
237,"GARZA TOLEDO, Enrique de la","Reestructuración produictiva, emnpresas y trabajadores
en México al inicio del siglo XXI",STPS,2003,HC140.L3 G39 2003
238,"ARCINIEGA ARCE, Rosa Silvia","Modernización empresarial y corporotivismo en el
sector textil",STPS,2003,HD6534.T49 A73 2003
239,"GUILTINAN, Joseph P.",Administración de mercadeo: estrategias y programas,McGrawHill,[19-?],HF5415.13 G85
240,"STONER, James A. F.",Administración,Pearson Education,1996,HD37 S8518 1996
241,"SAINTE.-MARIE, Georges",Dirigir una PYME,Paidós,1995,HD62.7 S3218 1995
242,"WHITE, Robert",Manual del Outsourcing,España: gestión 2000,2003,HD3858W5518 2003
243,"JHONSON, Gerry",Dirección estratégica,Prentice Hall,2001,HD30.28 J6418 2001
244,"HITT, Michael A.",Administración estratégica,International Thomson,2004,HD30.28 H57718 2004
245,"HARO LEEB, Luis",Psicología de las relaciones humanas,Librería de Porrúa Hermanos y Compañía y Compañía,1998,HM132 H35 1998
246,"BOUNDS, Gregory M.",Supervisión,International Thomson,1998,HF5549.12 B6818 1998
247,"ROBINSON, Alan G.",Creatividad empresarial,Pearson Education,2000,HD53 R6318 2000
248,"MÉNDEZ, José S.",Dinámica social de las organizaciones,MC GRAW HILL,1993,HS35 M45 1993
249,"MONKS, Joseph G.",Administración de operaciones,McGrawHill,1991,TS155 M65718 1991
250,"ANDERSON, David R.",Métodos cuantitativos para los negocios,"International Thomson,",2004,T56 A5318 2004
251,"Domingo Ajenjo, A.",Dirección y gestión de proyectos. Un enfoque práctico,Alfaomega,2000,HD69.P75 D65 2000
252,"TORRE, Joaquín de la",Evaluación de proyectos de inversión,Prentice Hall,2002,HG4028.C4 T67 2002
253,"SLATER, Robert","Rompiendo paradigmas: lecciones estratégicas de
liderazgo",McGraw Hill,2000,HD9696.2.U64 S5218 2000
254,"SIPPER, Daniel.",Planeación y control de la producción,McGraw Hill,1998,TS176 S5618 1998
255,Secretaria de Educación publica,"Memoria del proceso de enfoque estratégico en la
Secretaría de educación Pública",SEP,2002,LB2892 M45 2002
256,Universidad Tecnologíca de León,"Calidad en la gestión institucional: la Universidad
T4ecnológica de León",SEP,2002,LBU5884 2002
257,"HISCOX, G. D","EL RECETARIO INDUSTRIAL: enciclopedia de fórmulas, secretos, recetas, prácticas de taller, manipulaciones, métodos de laboratorio, conocimientos útiles, trabajos lucrativos para pequeñas y grandes Indistrias",Gustavo Gili,1994,T49 H633 1994
258,"Formoso Permury, A.","Formoso. 2000 procedimientos industriales al alcance
de todos",Limusa,1999,T49 .F67 1999
259,"FERRÉ MASIP, Rafael",Diseño industrial por computadora,MARCOMOBO,1988,TS171.4 .F47 1988
260,"DUNCAN, Acheson J.",CONTROL DE CALIDAD Y ESTADÍSTICA INDUSTRIAL,ALFAOMEGA,2000,TS171.4 .F47
261,OIT,EVALUACIÓN DE TAREAS,ALFAOMEGA,1992,HF5549.5J32 E83 1992
262,"Kalpakjian, S. & S. R. Schmid",Manufactura ingenieria y tecnología,Pearson,2002,TS176 K3518 2002
263,"BEDMORTH, David D.",Sistemas Integrados de Control de Producción .,Limusa,1997,TS157 B4318 1997
264,"Warr, P.",Ergonomía aplicada,Trillas,1993,BF481 W3718 1993
265,"NISE, Norman S.",Sistemas de control para ingeniería,CECSA,2002,TJ213 N5718 2002
266,"Ahuja, H. N. & M. A. Walsh",Ingeniería de costos y administración de proyectos,ALFAOMEGA,1995,TH435 A4718 1995
267,"WARK, Kenneth",Termodinámica,Mc Graw Hill.,1983,QC311 W3618 1983
268,"JOHNK, Carl T. A.",Engineering electromagnetic fields and  naves,JHON MILEY and sons,1988,TK145 .J63  1988
269,"RILEY, William F.",Estática,Barcelona: REVERTE,1995,TA351 .R5418  1995
270,"Meyers, F. E.","Estudios de Tiempos y Movimientos para la
Manufactura Agil",Pearson education,2000,T60.7 M4918 2000
271,"WILLIAM A.,  Sandra",Just-in-time: como hacerlo realidad,Ediciones S,1994,HD31 W4355 1994
272,"MILLER, David M.",Ingeneria Industrial e Investigacion de Operaciones,LIMUSA,1992,T56 M5518 1992
273,"VIQUERIA, LANDO, Jacinto","Introducción A LA INGENIERIA: SOCIEDAD, MEDIO
AMBIENTE",LIMUSA,1994,TA157 .V56 1994
274,"MOORE, Harry D.",Materiales y  procesos de fabricacion,LIMUSA,1996,TS205 M5518 1996
275,"ASKELAND, Donald R.",Ciencia e ingeniería de los materiales,Thomson,1998,TA403 A8318 1998
276,"THORNTON, Peter A.",Ciencia de materiales para ingeneria,PRENTICE HALL,1987,TA403 T618 1987
277,"Fitzgerald, R. W.",Mecanica de materiales,ALFAOMEGA,2000,TA405 F51318 2000
278,"CASAL, Joaquín",Analisis del riesgo e instalaciones industriales,ALFAOMEGA,2001,T55.A2 A5218 2001
279,"LEVI, Richard I.",Quantitative aproaches to m. (management),MC GRAW HILL,1978,T57.6 L482 1978
280,"GROOVER, Mikell P.","Industrial robotics: technology, programming, and
applications",MC GRAW HILL,1986,TS191.8 G74 1986
281,"HOPP, Vollrath",FUNDAMENTOS DE tecnologia QUIMICA,REVERTE,1994,TP145 H6618 1994
282,"MORRIS, S.",Principios de mediciones e instrumentación,Prentice Hall,2002,T50 M6618 2002
283,"Ramírez Cavassa, C.",Seguridad industrial un enfoque integral,Limusa,2002,T55 R355 2002
284,"Gerling, H.",Alrededor de las maquinas- herramientas,Reverte,2002,HD9695 G47 2002
285,"Bedford, A. & W. Fowler",Mecanica para Ingenieria. Estática,"ADDISON WSLEY, 1996",1996,TA351 B4318 1996
286,"Beer, F. P., E. Russell Johnston & E. R. Eisenberg",Mecánica vectorial para ingenieros: Estática,"MAC GRAW HILL, 1997",1997,TA350 B4318 1997 V.1
287,"BEER, Fedinand P.",Mecanica vectorial  para ingenieros: Dinamica,"MAC GRAW HILL, 1997",1990,TA350 B4318 1990  V.2
288,"BEDFORD, Anthony",Dinamica. Mecanica para ingeniería,"ADDISON WESLEY, 1996",1996,TA352 B4318 1996
289,"BUEN LOZANO, Odon de",Tecnologia mecanica e instalaciones,REPRESENTACIONES,1967,TS155 B67 1997
290,"SINGER, Ferdinand L.",Mecanica para ingenieros: estática,LATINOAMERICANA,1967,TJ163 .S5418 1967 V.1
291,"GRANT IRESON, W.",Biblioteca de Ingeniería Industrial T.1,"CECSA, 1982",1982,T56 H3518 1982 T.1
292,"GRANT IRESON, W.",Biblioteca de Ingeniería Industrial T.2,"CECSA, 1982",1982,T56 H3518 1982 T.2
293,"GRANT IRESON, W.",Biblioteca de Ingeniería Industrial T.3,"CECSA, 1982",1982,T56 H3518 1982 T.3
294,"BRAUN, Eliezer","Mecanica ""fisica 1""","Trillas, 1988",1988,QC125 .B72 1988
295,Rossell C. Hibbeler,Mecanica para ingenieros: Estática,"CECSA,",1992,TA351 H5318 1992
296,"HERNÁNDEZ, Arnaldo",Manufactura justa a tiempo,"CECSA, 1988",1993,TS155 .H4718  1993
297,"HODSON, William",Maynard manual del ing. T-1,McGrawHill,1996,T56 .M3918 1996 T.1
298,"HODSON, William",Maynard manual del ing. T-2,McGrawHill,1996,T56 .M3918 1996 T.2
299,"González Gnzález, C. y R. Zeleny Vázquez",Metrología,McGrawHill,1998,QC861 G65 1998
300,"CHIAVENATO, I.",Introducción a la teoría general de la administración,McGrawHill,c1999,HD37.P6 C5218 1999
301,"Feigenbaum, A. V.",Control total de la  calidad,"CECSA, 2000",2000,TS156 F4.318 2000
302,"Riggs, J. L.",Sistemas  de producción,Limusa,2002,TS155 .R5318 2002
303,"CANADA, John  R.",Analisis de la inversión  de capital,"PRENTICE HALL, 1997",1997,HG4028.C4 C34718 1997
304,"MONTAÑO,  Jesús J.",IS0 9001 : 2000,"Trillas, 2003",2003,TS156.6 M66  2003
305,"BACA, Gabriel",Introducción A LA INGENIERIA,"MC GRAW HILL, 1999",1999,TA15 B33 1999
306,"NIEBEL, Freivalds","Ingeniería industrial: Métodos. Estándares y diseño del
trabajo","ALFAOMEGA, 2001",2001,T60.8 N5418 2004
307,BERTRAND R. CANFIELD,ADMINISTRACION DE VENTAS,Trillas,,HF5415 C256 1973
308,"ARENAS, José Manuel",Control de tiempos y productividad,"THOMSON, 2000",2000,TS157 A74 2000
309,"LARBURU ARRIZABALAGA, Nicolàs","Màquinas. Prontuario: tècnicas, màquinas, herramientas",THOMSON,1998,TJ145 .L37 1998
310,"Timings, R. L.","Tecnología de fabricación 1. Procesos y materiales del
taller",Alfaomega,2001,TS183 T5518 2001 T.1
311,"Timings, R. L.","Tecnología de fabricación 2. Tratamiento térmico,
procesos y máquinas herramienta",Alfaomega,2001,TS183 T5518 2001 T.2
312,"Timings, R. L.","Tecnología de fabricación 3. Soldaura, fundición y
metalmecánica",Alfaomega,2001,TS183 T5518 2001 T.3
313,J.B. JONES,Ingeniería termodinamica,Prentice Hall,1997,TJ265 J65318 1997
314,"SANCHEZ GARCIA, Gabriel, tr.",Manual chilton de reparacion de autov. Importados  t. I,Prentice Hall,1997,TL152 CH6.88 1997 T.1
315,"SANCHEZ GARCIA, Gabriel, tr.",Manual chilton de reparación de autov.  Importados  t. II,Prentice Hall,1997,TL152 CH6.88 1997 T.2
316,"SANCHEZ GARCIA, Gabriel, tr.","Manual chilton de reparación de autov.  Importados  t.
III",Prentice Hall,1997,TL152 CH6.88 1997 T.3
317,"WATSON, Ben",Manual d.encendido electronico,Prentice Hall,1996,TL213 W3718 1996 T.1
318,"WATSON, Ben",Manual d.encendido electronico,Prentice Hall,1996,TL213 W3718 1996 T.2
319,"ALTH, Max","Manual de plomería e instalaciones eléctricas
residenciales 1: plomería",Prentice Hall,1993,TH6124 A4718 V.1
320,"ALTH, Max","Manual de plomería e instalaciones eléctricas
residenciales 2: plomería",Prentice Hall,1993,TH6124 A4718 V.2
321,"BURCH, Monte",Manual de plomería e instalaciones eléctricas residenciales 3: instalaciones electricas residenciales,Prentice Hall,1993,TH6124 A4718 V.3
322,"NAYLER, G. H. F",Diccionario moderno de ingeniería mecánica t. I,Prentice Hall,1999,TJ9 N3718 1999 T.1
323,"NAYLER, G. H. F",Diccionario moderno de ingeniería mecánica t. II,Prentice Hall,1999,TJ9 N3718 1999 T.2
324,"SANCHEZ GARCIA, Gabriel, tr.",Manual de  refrigeración y aire acondicionado. Tomo I,Prentice Hall,1999,TP492 .M3618 1999 T.1
325,"SANCHEZ GARCIA, Gabriel, tr.",Manual de  refrigeración y aire acondicionado. Tomo II,Prentice Hall,1999,TP492 .M3618 1999 T.2
326,"SANCHEZ GARCIA, Gabriel, tr.",Manual de  refrigeración y aire acondicionado. Tomo III,Prentice Hall,,TP492 .M3618 1999 T.3
327,"SERVIN, Enrique","Manual Chilton de reparación de  camionetas general
Motors 1992-1996. tomo I",Prentice Hall,c1997,TL230.5 G4.5 CH5.58 1997 T.1
328,"SERVIN, Enrique",Manual Chilton de reparación de  camionetas general Motors 1992-1996. tomo II,Prentice Hall,c1997,TL230.5 G4.5 CH5.58 1997 T.2
329,"OGATA, Katsuhiko","Problemas  de Ingeniería de control utilizando Matlab:
un enfoque práctico",Prentice Hall,1999,TJ213 .O32218  1999
330,"LEVENSPIEL, O.",Fundamentos de termodinamica,Prentice Hall,1997,TJ265 L4818 1997
331,"konz, S.",Diseño de instalaciones industriales,Limusa,2000,TS177 K6518 2000
332,"WRIGHT, Paul H.",Introducción a la ingeneria,PEARSON educación,c1999,TA147 .W7418  1999
333,"VAN GIGCH, John P.",Teoría general de sistemas,Trillas,1987,H61 V3518 1987
334,"Besley, S.",Fundamentos de administración financiera,Trillas,2001,HG4026 B4718 2001
335,"PIÑA, Eduardo",Termodinamica,LIMUSA,1978,QC311 P48 1978
336,"TIMOSENKO, Stephen",Mecanica de materiales,Litton education,1972,TA405 T56 1972
337,"ORDOÑEZ Reyna, Luis",Mecanica Vectorial Para Ingenieros: Dinámica,continental,1989,TA351 O742 1989
338,"Krick, E. V.",Introducción a la ingeniería y al diseño  en la ingeniería,LIMUSA,1978,TA147 K692 1978
339,"KAUFMAN, Roger, {et. al}",Guia practica para la planeación en las organizaciones,Trillas,1987,HD31 K3818 1987
340,"LAKSHMIVARAHAN, S.",Analisis and design of parallel algorithms,MC. GRAW. HILL,1990,QA76.642 L35 1990
341,STEPHEN P. ROBBINS.,Comportamiento organizacional,Pearson Prentice Hall,2004,HD58.7 R6318 2004
342,"MAAS, James",Industrial electronics,PRENTICE HALL,c1995,TK7815 M325 1995
343,"CONOLLY, Thomas J.",Fundamentos de ingeniería nuclear,LIMUSA,1983,TK9145 C618 1983
344,E.E. COHERENT,"Lasers: operación, equipo, uso y diseño",LIMUSA,1985,TA1677 C6318 1985
345,"ROSALER, Robert C.",Manual del ingenierode planta. Tomo I,MC. GRAW HILL,C1998,TS184 S8318 1998 T.1
346,"ROSALER, Robert C.",Manual del ingenierode planta. Tomo II,MC. GRAW HILL,C1998,TS184 S8318 1998 T.2
347,"Baca Urbina, G.",Evaluación de proyectos,McGraw Hill,c2001,HD69.P75 B33 2001
348,"MONSO BUSTIO, Julià","Sistemas de identificaciòn y control automaticos I. El
sistema y su entorno",Marcambo,1994,TS158.6 M66  1994
349,CALDERON BARQUIN FRANCISCO J.,Dibujo Tecnico  Industrial,Porrúa,2001,T353 C26 2001
350,"CLELAND, David L.",Manual para la administracion de proyectos,CECSA,2000,HD69.P75 C518 2000
351,"SPIEGEL, Murray R.",Análisis vectorial,Mc Graw Hill,1998,QA261 S6118 1998
352,"HESSELBEIN, Frances",La organización del futuro,"Argentina: GRANICA,
1998",1998,HD58.8 O74518 1998
353,"SALAZAR POLANCO, Guillermo",Estabilidad de las contruciones: elasticidad,,"ALFAO
MEGA",TG260 S2 1991
354,"BLACK, Stewart C.",Principios de ingeneria de manufactura,CECSA,1999,TS176 P7518 1999
355,"Hicks, P. E.","Ingeniería industrial y administración: Una nueva
perspectiva",CECSA,1999,T56 H518  1999
356,"Ramírez Cavassa, C.",Ergonomía y productividad,LIMUSA,2000,TA166 R35 2000
357,"Mondelo, P. R., E. Gregori Torada, S. Comas üriz, E. Castejón Vilella & E. Bartolomé Lacambra",Ergonomía 2:  confort y estrés térmico,Alfaomega,2001,T59.7 E733 2001 T.2
358,"Mondelo, P. R., E. Gregori, j. Blasco & P. Barrau",Ergonomía 3: diseño puentes de trabajo,Alfaomega,2001,T59.7 E734 2001 T.3
359,"MONDELO, Pedro R.",Ergonomía 4:  el trabajo en oficinas,Alfaomega,2002,T59.7 E735 T.4  2002
360,"RUIZ MIJAREZ, A.",Trabajo de forja,SEP,1970,TS225 R85 1970
361,"POLLONE, Giuseppe",Engranajes,"Blume, 1972",1972,TJ243 P65 1972
362,"MONNE,  M.","Aparatos de manutención: Principios y criterios de
elección","Blume, 1968",1968,TS149 M64 1968
363,"WHITE, John A., [et. al]",Ingenieria economica,LIMUSA WILEY,2001,TA177.4 .I5618 2001
364,"Blank, L. & A. Tarquin",Ingeniería económica,"McGraw-
Hill/Interamericana",1999,TA177.4 B5318 1999
365,"GERE, James M.",Mechanic of materials,"Thomson,1997",1997,TA405 T532 1997
366,,Guías para las comisiones mixtas de seguridad e higiene de los centros de trabajo,STPS y IMSS,1987,HD7091 .G84 1987
367,,Semiconductors,199,1992,QC611 H32 1992
368,"SUDKAMP, Thomas",Languajes and machines,Addison,1988,QA267.3 S83 1988
369,"FOX, R. W",Introducción a la mecánica de fluidos,Iteramericana,1983,TA357 F68 1983
370,"SHAMES, Irving H.",Ingeniería mecánica,Herrero,1967,TA350 S39 1967
371,"SMITH, Cameron C.",Guías para supervisores,Trillas,1972,HF5500 S65 1972
372,"SMITH, Carlos A.",Control automático de procesos,Limusa,1994,TP155.75 S5518 1994
373,"DANTE, Jose Luis",Distribución de planta,UPIICSA,1994,TS186 D36 1994
374,"CHENERY, Hollis",Industrialización y desarrollo,Trillas,1991,HD82 C43518 1991
375,"OPPENHEIM, Alan V.",Discrete-time signal processing,Prentice hall,1989,TK5102.5 O63 1989
376,"DAVIS, Raymond E.",Topografia elemental,Cecsa,1971,TA545 D442 1971
377,"ARBONES MALISANI, Eduardo A.",Optimizaciòn industrial (II) Programaciòn de recursos,Marcombo,1989,T57 A73 1989
378,MANUEL Antoni.,"Instrumentaciòn virtual. Adquisiciòn, procesado y
anàlisis de señales",Alfaomega,2002,TK5102.9 I565 2002
379,"HARVEY, J.C.",GEOLOGÍA PARA INGENIEROS,Limusa,1987,QE33 H3718 1987
380,"RODELLAR LISA, Adolfo",Seguridad e higiene en el trabajo,Alfaomegama,1999,HD7261 R62  1999
381,"MONSO BUSTIO, Julià",Sistemas de identificación y control automáticos II: Sistemas de control  del flujo fìsico,Marcombo,1993,TS158.6 M652 1993
382,"MASTERS, Gilbert M.",Digital  image procesing,Wiley-inters,1991,TA1622 P73 1991
383,"MASTERS, Gilbert M.",Introduction to environmental engineering and science,Prentice hall,1991,TD145 M37 1991
384,Ven Te Chow,Open-channel hydraulics,Mc graw hill,1959,TC175 C45 1959
385,JERIME F.,Standard  appication of mechanical details,Mc graw hill,1985,TJ145 M84 1985
386,"García Criollo, R.","Estudio del trabajo: ingeniería de métodos y medición
del trabajo",McGrawHill,2005,T60 G27 2005
387,AGUSTÍN MONTAÑO,Diagnostico industrial,Trillas,1972,HD38 M646 1972
388,"Carabias Lillo, J.","Estaciones de transferencia de residuos solidos en areas
urbas",Unam,1996,TD789.M62 D5747 1996
389,"CHANDE, Tushar S.",Desarrolle e implemente un sistema operacional,Prentice Hall,1998,HG4529 C42818 1998
390,SPRIEGEL- L.,Organizacion de empresas indus.,"Cecsa, 1966",1966,T56 L35 1966
391,JOAN COSTA,La  fotografia,"Trillas, 1991",1991,TR185 C65 1991
392,"García Criollo, R.",Estudio del trabajo medicion del trabajo,"Mc graw hill, 1998",1998,T60 G27 1998 V.2
393,"García Criollo, R.",Estudio del trabajo ing. Metodos,"Mc graw hill, 1998",1998,T60 G27 1998 V.1
394,OSCAR SALINAS,Historia  del diseño industrial,"Trillas, 1992",1992,TS171 S35 1992
395,"Oborne, D. J.","Ergonomia en accion. La adaptacion del medio de trabjo
al hombre",Trillas,1990,TA166 O3618 1990
396,JOHN HUGH JONES,Proyecto geometrico de carreteras modernas,"Continental, 1976",1963,TE175 J64 1963
397,"Betancourt Arce, R.",Topografia general,"Mc graw hill, 1985",1985,TA545 B47 1985
398,MORTON- JONES,"Procesamiento de plásticos. Inyección, moldeo, hule,
PVC","Limusa, 2003",2003,TP1087 M67 2003
399,JOSE   J.CAÑAS,Ergonomia cognitiva,"Panoamericana, 2001",2001,TA166 C35 2001
400,IRVIN I.,Materiales plasticos,"Limusa, 1998",1998,TP1130 H3518 1998
401,BENJAMÍN C.,Sistemas de control automatico,Prentice Hall,1996,TJ213 K8618 1996
402,EMILIO COSTODIO,Hidrologia subterranea,"Omega, 1976",1976,GB1003 H52 1976
403,"Dounce Villanueva, E.",La productividad en el mantenimiento industrial,CECSA,2000,TS192 D68 2000
404,F.J. MC GUIGAN,Psicología experimental,Prentice Hall,1996,BF181 M2.558 1996
405,JOSE MARIA C.,Seguridad de higiene del trabajo,"Alfaomega, 2002",2002,HD7261 C67 2002
406,JOHN P. BENTLEY,Sistemas de medicion,"Cecsa, 1993",1993,QC53 B4518 1993
407,U. KACLAMBI,Conversión de energia,"Limusa, 1984",1984,TJ163.9 K3218 1984
408,"PAJARES MARTINSANZ , Gonzalo",Intelegencia artificial e ingenierìa del conocimiento,Alfaomega Ra-ma,2006,Q335 P34 2006
409,SIDNEY M. LEVY,"Build, operate, transfer","John wiley, 1996",1996,HC79.C3 L48 1996
410,BAHAA E.A.,Fundamental of photonics,"John wiley, 1991",1991,TA1520 S35 1991
411,JEFFREY P. Laible,Analisis estructural,"Mc graw hill, 1992",1992,TA645 L3518 1992
412,"Arnold, C. & R. Reitherman",Configuracion y diseño sismico de edificios,Limusa,1995,TA658.44 A7518 1995
413,MIGUEL IBAÑEZ,"Estructuras mixtas de hormigon Armado y acero en
edificios","Dossat, 1972",1972,TA681 I22 1972
414,PABLO F. PEÑA,"Criterios generales para el proyecto basico de
extructuras de concreto","Imcye, 1986",1990,TA681.5 P45 1990
415,"Everard, N. J. y J. L. Tanner",Reinforced concrete desing,"Mc graw hill, 1966",1966,TA683.2 CUTER 1966
416,JACK MC CORMAC,Estructuras analisis y diseño,Alfaomega 1994,1994,TA645 M2218 1994
417,JACK MC CORMAC,Estructural steel design ASD Method,Harper,1992,TA684 M25 1992
418,RODOLFO LUTHE,Analisis estructural,"Alfaomega, 1991",1991,QA171.5 L84 1991
419,"Bowles, Joseph E.",Diseño de acero estructural,Limusa,1984,TA684 B66181984
